"bidding_exercise","category","month_year","quota_premium","bid_to_quota"
"2","Cat A (Cars up to 1600cc and 97kW)","Mar 2005",18901,1.26031746031746
"2","Cat B (Cars above 1600cc or 97kW)","Mar 2005",18001,1.18859649122807
"2","Cat C (Goods vehicles and buses)","Mar 2005",7100,1.21565731166913
"2","Cat D (Motorcycles)","Mar 2005",781,2.02688172043011
"2","Cat E (Open)","Mar 2005",19001,1.32376747608536
"1","Cat A (Cars up to 1600cc and 97kW)","Apr 2005",18279,1.22045454545455
"1","Cat B (Cars above 1600cc or 97kW)","Apr 2005",16110,1.23934723481414
"1","Cat C (Goods vehicles and buses)","Apr 2005",7100,1.24448217317487
"1","Cat D (Motorcycles)","Apr 2005",603,1.38728323699422
"1","Cat E (Open)","Apr 2005",18802,1.5719298245614
"2","Cat A (Cars up to 1600cc and 97kW)","Apr 2005",18101,1.13206713780919
"2","Cat B (Cars above 1600cc or 97kW)","Apr 2005",17701,1.22583559168925
"2","Cat C (Goods vehicles and buses)","Apr 2005",6841,1.19463087248322
"2","Cat D (Motorcycles)","Apr 2005",591,1.47697368421053
"2","Cat E (Open)","Apr 2005",18000,1.46034482758621
"1","Cat A (Cars up to 1600cc and 97kW)","May 2005",17398,1.1828545371637
"1","Cat B (Cars above 1600cc or 97kW)","May 2005",16508,1.21727272727273
